Steps,Episode reward,Episode number
1900908,370,1
1901555,210,2
1902132,260,3
1902732,210,4
1903505,630,5
1904042,150,6
1904582,290,7
1905629,420,8
1906314,310,9
1906852,150,10
1907473,150,11
1908014,310,12
1908610,240,13
1909158,230,14
1909770,210,15
1910373,440,16
1911105,880,17
1911704,440,18
1912137,110,19
1912560,60,20
1913145,390,21
1913742,210,22
1914336,210,23
1915212,400,24
1915747,360,25
1916287,100,26
1917001,430,27
1917606,210,28
1918407,870,29
1918949,260,30
1919791,260,31
1920827,420,32
1921392,420,33
1921929,340,34
1922452,280,35
1922970,240,36
1923582,240,37
1924225,320,38
1924700,270,39
1925358,420,40
1925960,210,41
1926572,360,42
1927171,340,43
1927772,210,44
1928310,420,45
1928837,240,46
1929414,490,47
1930012,340,48
1930986,240,49
1931582,430,50
1932172,280,51
1932760,350,52
1933500,260,53
1934337,490,54
1934989,450,55
1935642,410,56
1936206,370,57
1937036,240,58
1937570,280,59
1938192,310,60
1939118,570,61
1939660,240,62
1940388,1050,63
1940946,480,64
1941492,230,65
1942266,600,66
1943008,380,67
1943734,450,68
1944453,440,69
1945280,650,70
1946255,860,71
1946733,340,72
1947463,430,73
1948045,370,74
1948651,320,75
1949314,500,76
1949878,240,77
1950302,230,78
1950809,230,79
1951240,230,80
1951805,420,81
1952450,190,82
1953101,210,83
1953496,190,84
1954561,830,85
1955280,310,86
1956306,480,87
1956934,690,88
1957504,360,89
1958294,1120,90
1958905,210,91
1959440,360,92
1960426,1810,93
1961264,770,94
1961893,210,95
1962840,710,96
1963441,210,97
1964097,380,98
1964923,260,99
1965460,240,100
1966285,750,101
1966905,550,102
1967823,610,103
1968401,280,104
1968945,270,105
1969533,210,106
1970185,210,107
1970792,210,108
1971400,210,109
1971944,290,110
1972543,210,111
1973107,390,112
1973761,240,113
1974303,250,114
1974865,260,115
1975304,180,116
1975954,210,117
1976543,210,118
1977086,290,119
1977710,210,120
1978472,260,121
1979244,990,122
1979844,210,123
1980442,210,124
1981012,280,125
1981830,410,126
1982352,410,127
1983429,810,128
1984030,210,129
1984570,250,130
1985106,150,131
1985654,310,132
1986222,230,133
1986742,410,134
1987421,420,135
1988211,750,136
1988962,590,137
1989884,500,138
1990597,290,139
1991061,230,140
1992026,770,141
1992806,380,142
1993633,550,143
1994258,350,144
1994859,210,145
1995537,120,146
1996159,210,147
1996711,230,148
1997464,310,149
1998453,260,150
1999102,310,151
1999744,380,152
2000344,210,153
2000842,260,154
2001289,210,155
2001887,210,156
2002537,330,157
2003110,250,158
2003921,430,159
2004431,210,160
2005092,590,161
2005718,290,162
2006247,290,163
2006815,230,164
2007804,830,165
2008386,310,166
2009120,480,167
2009724,210,168
2010279,320,169
2010900,230,170
2011538,590,171
2012141,210,172
2012680,150,173
2013243,230,174
2014119,460,175
2014746,400,176
2015278,360,177
2015937,380,178
2016588,430,179
2017390,850,180
2017928,150,181
2018486,240,182
2019149,470,183
2019742,390,184
2020311,230,185
2021423,670,186
2022481,330,187
2023346,210,188
2024159,210,189
2024819,210,190
2025408,210,191
2026412,400,192
2027006,210,193
2027608,210,194
2028198,210,195
2028886,320,196
2029478,210,197
2030079,210,198
2030880,600,199
2031268,150,200
2031869,210,201
2032600,360,202
2033077,290,203
2033738,370,204
2034512,510,205
2035150,350,206
2035768,140,207
2036793,240,208
2037350,210,209
2037887,450,210
2038443,230,211
2039006,460,212
2039638,400,213
2040483,370,214
2041008,210,215
2041800,590,216
2042770,700,217
2043374,210,218
2044115,340,219
2045554,720,220
2046255,230,221
2047026,210,222
2047731,540,223
2048275,310,224
2048810,500,225
2049359,210,226
2049899,310,227
2050453,230,228
2050915,340,229
2051547,380,230
2052094,100,231
2052988,480,232
2053570,220,233
2054182,210,234
2054827,310,235
2055623,630,236
2056376,600,237
2056934,230,238
2057876,600,239
2058506,260,240
2059513,410,241
2059913,190,242
2060641,700,243
2061556,590,244
2062097,310,245
2062702,210,246
2063087,210,247
2063751,690,248
2064319,250,249
2064727,150,250
2065269,350,251
2066239,710,252
2066786,310,253
2068005,350,254
2068854,380,255
2069370,300,256
2070089,380,257
2070627,370,258
2071289,180,259
2071885,210,260
2072411,210,261
2073065,560,262
2073619,300,263
2074271,290,264
2075107,520,265
2075635,150,266
2076682,570,267
2077350,350,268
2077898,270,269
2078429,420,270
2079080,450,271
2079463,190,272
2080020,250,273
2080520,230,274
2081109,210,275
2081711,210,276
2082313,210,277
2083070,390,278
2083787,280,279
2084380,210,280
2084929,310,281
2085548,400,282
2086161,210,283
2086857,470,284
2087554,320,285
2088548,550,286
2089161,210,287
2089986,380,288
2090582,210,289
2091528,680,290
2092153,650,291
2093093,630,292
2093780,120,293
2094750,440,294
2095285,410,295
2096392,460,296
2097079,130,297
2097909,630,298
2098448,150,299
2098949,270,300
2099548,300,301
2100132,340,302
2100580,240,303
2101713,1060,304
2102622,240,305
2103477,240,306
2104314,430,307
2105272,590,308
2106140,450,309
2106962,480,310
2107502,250,311
2108111,210,312
2108738,470,313
2109275,240,314
2109940,310,315
2110469,310,316
2111192,610,317
2111655,210,318
2112201,150,319
2112738,270,320
2113563,550,321
2114095,370,322
2114619,360,323
2115158,380,324
2116047,480,325
2117143,900,326
2117685,150,327
2118226,240,328
2118842,140,329
2119439,260,330
2120230,420,331
2121025,440,332
2121562,280,333
2122150,400,334
2122890,550,335
2123462,150,336
2124056,410,337
2124695,450,338
2125288,210,339
2125879,420,340
2126262,190,341
2127033,380,342
2127979,480,343
2128623,410,344
2129171,260,345
2129715,290,346
2130317,460,347
2131019,320,348
2131628,210,349
2132223,210,350
2132822,300,351
2133294,340,352
2134050,310,353
2134566,240,354
2135248,610,355
2135767,310,356
2136299,340,357
2137094,290,358
2137616,290,359
2138326,530,360
2138922,470,361
2139512,410,362
2140082,510,363
2140661,380,364
2141364,370,365
2141885,300,366
2142562,360,367
2142999,230,368
2143616,400,369
2144376,450,370
2144972,210,371
2145663,320,372
2146313,230,373
2147147,330,374
2147956,680,375
2148561,210,376
2149162,210,377
2149767,210,378
2150363,280,379
2150908,240,380
2151535,400,381
2152125,210,382
2152813,320,383
2153351,310,384
2153941,210,385
2154544,210,386
2155140,210,387
2155681,290,388
2156341,420,389
2157115,660,390
2157510,180,391
2158235,440,392
2158996,210,393
2159931,1060,394
2160805,470,395
2161458,110,396
2162306,820,397
2162906,440,398
2163648,650,399
2164304,370,400
2164885,430,401
2165856,820,402
2166711,400,403
2167612,570,404
2168165,260,405
2168715,370,406
2169349,280,407
2169966,340,408
2170782,500,409
2171474,70,410
2172251,600,411
2173274,580,412
2173913,400,413
2174508,210,414
2175152,210,415
2175778,470,416
2176332,390,417
2176849,420,418
2177583,710,419
2178073,290,420
2178625,150,421
2179283,70,422
2179693,150,423
2180277,280,424
2180813,320,425
2182021,800,426
2182539,170,427
2183308,480,428
2184145,470,429
2184759,210,430
2185401,420,431
2186166,530,432
2186765,250,433
2187634,620,434
2188273,280,435
2188948,330,436
2189583,360,437
2190124,310,438
2190946,420,439
2191741,770,440
2192265,300,441
2192871,210,442
2193578,380,443
2194171,210,444
2194772,210,445
2195588,510,446
2196226,500,447
2197027,630,448
2197759,610,449
2198693,440,450
2199220,220,451
2200202,340,452
2200901,270,453
2201585,330,454
2202191,210,455
