Episode reward,Steps,Episode number
260.0,688,1
200.0,1372,2
240.0,2035,3
280.0,2786,4
180.0,3398,5
330.0,4143,6
230.0,4665,7
180.0,5320,8
410.0,6291,9
170.0,6743,10
220.0,7389,11
280.0,7999,12
190.0,8543,13
110.0,8953,14
190.0,9553,15
130.0,10123,16
200.0,10586,17
240.0,11306,18
180.0,11761,19
290.0,12369,20
100.0,12882,21
610.0,13674,22
520.0,14442,23
270.0,14967,24
450.0,15713,25
480.0,16569,26
350.0,17147,27
410.0,17988,28
310.0,18608,29
480.0,19429,30
470.0,20433,31
250.0,21024,32
380.0,21595,33
230.0,22056,34
560.0,22714,35
970.0,23562,36
350.0,24143,37
420.0,24710,38
1920.0,25461,39
150.0,25790,40
260.0,26254,41
500.0,27071,42
1110.0,27696,43
530.0,28441,44
630.0,29102,45
370.0,29937,46
400.0,30528,47
310.0,31060,48
