Steps,Episode reward,Episode number
571,250.0,1
1258,250.0,2
1750,240.0,3
2160,140.0,4
2828,220.0,5
3491,190.0,6
3986,150.0,7
4388,140.0,8
5235,310.0,9
5892,260.0,10
6423,170.0,11
7099,220.0,12
7741,170.0,13
8350,170.0,14
8939,150.0,15
9562,240.0,16
10176,250.0,17
10751,260.0,18
11302,230.0,19
11865,190.0,20
12613,470.0,21
13574,550.0,22
14456,810.0,23
15404,1130.0,24
16062,280.0,25
16967,430.0,26
18118,720.0,27
18918,630.0,28
19594,470.0,29
20241,290.0,30
21263,740.0,31
21873,380.0,32
22817,640.0,33
23512,410.0,34
24178,560.0,35
25085,790.0,36
25924,690.0,37
