Episode number,Steps,Episode reward
1,790,300.0
2,1228,210.0
3,1790,180.0
4,2407,160.0
5,3093,330.0
6,3784,220.0
7,4481,250.0
8,4997,270.0
9,5696,250.0
10,6308,150.0
11,7013,220.0
12,7651,170.0
13,8271,190.0
14,8877,200.0
15,9470,210.0
16,10052,190.0
17,10634,290.0
18,11202,220.0
19,11629,130.0
20,12231,190.0
21,12913,200.0
22,13502,200.0
23,14236,280.0
24,15223,390.0
25,15807,400.0
26,16571,410.0
27,17203,250.0
28,17609,170.0
29,18206,360.0
30,19250,840.0
31,19711,160.0
32,20832,1470.0
33,21627,780.0
34,22433,400.0
35,23196,330.0
36,23697,350.0
37,24725,850.0
38,25156,330.0
39,25888,590.0
40,26596,540.0
41,27506,650.0
42,28423,1090.0
43,29000,430.0
44,30020,550.0
45,30809,430.0
46,31246,150.0
47,32065,1500.0
48,33050,580.0
49,33518,300.0
50,34068,390.0
51,34866,550.0
52,35237,210.0
53,36253,960.0
54,37376,610.0
55,38293,980.0
56,39034,620.0
57,39540,280.0
58,40071,280.0
59,40956,530.0
60,41661,460.0
61,42342,610.0
62,43242,1030.0
63,43908,480.0
64,45189,770.0
65,45802,660.0
66,46364,480.0
67,47247,1150.0
68,47758,180.0
69,48296,210.0
70,49378,1450.0
71,49939,410.0
72,50780,900.0
73,51318,320.0
74,52260,800.0
75,52802,340.0
76,53148,190.0
77,53870,670.0
78,54395,340.0
79,55319,2270.0
80,56192,620.0
81,56894,230.0
82,57472,420.0
83,58999,1330.0
84,59776,310.0
85,60367,540.0
86,61297,980.0
87,61769,410.0
88,62202,360.0
89,62758,360.0
