Episode number,Episode reward,Steps
1,280.0,879
2,230.0,1475
3,140.0,1963
4,180.0,2498
5,190.0,3087
6,200.0,3789
7,130.0,4352
8,210.0,4930
9,150.0,5461
10,220.0,5895
11,230.0,6546
12,240.0,7227
13,220.0,7797
14,200.0,8321
15,220.0,8880
16,260.0,9679
17,250.0,10295
18,230.0,11018
19,200.0,11593
20,580.0,12461
21,220.0,13087
22,230.0,13681
23,650.0,14641
24,150.0,15230
25,290.0,15695
26,630.0,16605
27,1130.0,17539
28,510.0,18431
29,320.0,19093
30,450.0,19718
31,340.0,20278
32,520.0,21168
33,740.0,22191
34,160.0,22617
35,390.0,23365
36,650.0,24101
37,840.0,25056
38,410.0,25723
39,350.0,26284
40,420.0,26941
41,1040.0,27684
42,860.0,28667
43,770.0,29444
44,380.0,30072
45,990.0,31154
46,480.0,31797
47,370.0,32290
