Episode reward,Episode number,Steps
140.0,1,595
190.0,2,1247
320.0,3,2070
170.0,4,2574
190.0,5,3111
160.0,6,3722
220.0,7,4265
210.0,8,4876
190.0,9,5521
240.0,10,6142
240.0,11,6756
170.0,12,7321
200.0,13,7829
170.0,14,8499
160.0,15,9051
150.0,16,9573
200.0,17,10120
320.0,18,10844
490.0,19,11766
360.0,20,12534
280.0,21,13134
340.0,22,13982
300.0,23,14639
210.0,24,15225
490.0,25,15989
630.0,26,17064
950.0,27,17912
530.0,28,18705
340.0,29,19531
670.0,30,20577
260.0,31,21077
830.0,32,22120
860.0,33,22850
580.0,34,23641
530.0,35,24566
190.0,36,25163
1050.0,37,25952
390.0,38,26698
250.0,39,27179
1110.0,40,27895
430.0,41,28504
370.0,42,29075
1340.0,43,30039
1270.0,44,30932
580.0,45,31617
590.0,46,32295
320.0,47,32742
350.0,48,33191
1070.0,49,34113
320.0,50,34714
810.0,51,35531
2010.0,52,36505
230.0,53,36963
140.0,54,37318
710.0,55,38189
550.0,56,38821
440.0,57,39409
310.0,58,39940
180.0,59,40308
860.0,60,40976
340.0,61,41386
1170.0,62,42377
520.0,63,43105
290.0,64,43695
570.0,65,44462
960.0,66,45338
1200.0,67,46344
340.0,68,46964
840.0,69,47977
160.0,70,48312
360.0,71,49010
490.0,72,49623
800.0,73,50472
1060.0,74,51471
140.0,75,51924
190.0,76,52313
820.0,77,53364
580.0,78,54261
610.0,79,55108
790.0,80,56071
320.0,81,56594
980.0,82,57660
300.0,83,58148
1120.0,84,59071
480.0,85,59688
650.0,86,60455
210.0,87,60962
470.0,88,61601
240.0,89,61968
720.0,90,62707
260.0,91,63173
630.0,92,64035
160.0,93,64359
260.0,94,64781
250.0,95,65246
400.0,96,65736
360.0,97,66191
280.0,98,66691
540.0,99,67274
550.0,100,68622
190.0,101,69016
430.0,102,69655
550.0,103,70443
290.0,104,71119
210.0,105,71516
320.0,106,72092
380.0,107,72653
1000.0,108,73454
290.0,109,73931
640.0,110,74634
210.0,111,75096
410.0,112,75597
230.0,113,76008
590.0,114,76841
530.0,115,77477
190.0,116,77830
1000.0,117,78990
290.0,118,79393
240.0,119,79848
450.0,120,80409
1990.0,121,81085
1000.0,122,81865
680.0,123,82828
440.0,124,83494
860.0,125,84052
250.0,126,84605
400.0,127,85240
230.0,128,85685
470.0,129,86360
830.0,130,87834
1530.0,131,88926
180.0,132,89341
350.0,133,89891
760.0,134,90643
