Steps,Episode number,Episode reward
602,1,170.0
1377,2,290.0
1983,3,230.0
2595,4,260.0
3202,5,250.0
3828,6,260.0
4524,7,260.0
5143,8,100.0
5724,9,250.0
6597,10,410.0
7291,11,220.0
7972,12,180.0
8653,13,280.0
9347,14,340.0
9863,15,180.0
10526,16,310.0
11126,17,250.0
11993,18,330.0
12476,19,220.0
13162,20,230.0
13745,21,180.0
14391,22,250.0
15112,23,380.0
15994,24,570.0
16694,25,320.0
17383,26,410.0
18002,27,250.0
18922,28,620.0
19673,29,340.0
20427,30,270.0
21158,31,380.0
21661,32,230.0
22484,33,1080.0
23234,34,620.0
23933,35,330.0
24768,36,300.0
25394,37,280.0
25895,38,170.0
26755,39,580.0
27482,40,340.0
28236,41,870.0
