Steps,Episode number,Episode reward
694,1,190.0
1313,2,110.0
2122,3,340.0
2686,4,170.0
3416,5,290.0
3952,6,140.0
4615,7,180.0
5158,8,220.0
5823,9,240.0
6629,10,350.0
7154,11,180.0
7787,12,190.0
8350,13,120.0
8940,14,170.0
9548,15,230.0
10151,16,180.0
10930,17,210.0
11597,18,280.0
12275,19,210.0
12917,20,310.0
13580,21,210.0
14215,22,270.0
14934,23,460.0
15380,24,130.0
16226,25,480.0
16760,26,260.0
17557,27,390.0
18419,28,800.0
19134,29,480.0
19954,30,260.0
20587,31,320.0
21372,32,1720.0
21809,33,190.0
22422,34,360.0
23094,35,330.0
23834,36,890.0
24702,37,380.0
25467,38,380.0
26366,39,380.0
26874,40,320.0
27391,41,190.0
27803,42,170.0
28301,43,100.0
29233,44,810.0
30044,45,440.0
30830,46,820.0
31627,47,1580.0
32219,48,180.0
32973,49,230.0
33446,50,110.0
34448,51,380.0
35251,52,390.0
35858,53,780.0
36525,54,180.0
37600,55,190.0
38264,56,790.0
38959,57,410.0
39471,58,270.0
40278,59,230.0
41177,60,180.0
41896,61,380.0
42598,62,780.0
43455,63,780.0
44286,64,380.0
44961,65,390.0
45695,66,380.0
46567,67,180.0
47392,68,410.0
48065,69,450.0
48820,70,190.0
49580,71,380.0
50068,72,70.0
51014,73,180.0
51586,74,180.0
52261,75,380.0
52688,76,110.0
53464,77,230.0
54431,78,780.0
54857,79,180.0
55548,80,380.0
56403,81,180.0
56984,82,380.0
57738,83,180.0
58417,84,780.0
58860,85,110.0
59646,86,380.0
60361,87,390.0
61032,88,190.0
61761,89,190.0
62702,90,380.0
63476,91,390.0
64083,92,130.0
64744,93,380.0
65406,94,390.0
66062,95,180.0
66898,96,230.0
67405,97,110.0
68074,98,180.0
68583,99,90.0
69538,100,190.0
70339,101,380.0
71161,102,380.0
71569,103,180.0
72404,104,190.0
72914,105,60.0
73390,106,110.0
73952,107,140.0
74574,108,210.0
75262,109,190.0
75927,110,380.0
76718,111,450.0
77445,112,440.0
78172,113,490.0
78958,114,380.0
79840,115,780.0
80392,116,110.0
80888,117,130.0
81684,118,180.0
82270,119,180.0
82766,120,110.0
83184,121,130.0
83684,122,220.0
84431,123,380.0
85123,124,380.0
85770,125,180.0
86575,126,380.0
