Steps,Episode number,Episode reward
638,1,260.0
1245,2,250.0
1781,3,160.0
2349,4,190.0
2968,5,250.0
3610,6,170.0
3993,7,120.0
4612,8,230.0
5108,9,140.0
5846,10,300.0
6324,11,240.0
6920,12,170.0
7623,13,260.0
8152,14,210.0
8727,15,200.0
9369,16,180.0
9967,17,180.0
10503,18,260.0
11000,19,100.0
11498,20,200.0
12251,21,300.0
13295,22,530.0
14088,23,450.0
14919,24,970.0
15352,25,180.0
15781,26,130.0
16768,27,630.0
17564,28,550.0
18214,29,370.0
18706,30,350.0
19329,31,290.0
19876,32,290.0
20497,33,420.0
21247,34,470.0
22070,35,390.0
22993,36,630.0
23945,37,860.0
24477,38,360.0
25310,39,520.0
25842,40,340.0
26439,41,370.0
27329,42,930.0
28163,43,520.0
29043,44,550.0
29576,45,210.0
30058,46,220.0
30901,47,680.0
31824,48,1300.0
32874,49,2040.0
33876,50,960.0
34705,51,250.0
35557,52,740.0
36452,53,480.0
37211,54,750.0
37813,55,570.0
39258,56,1350.0
39998,57,750.0
40516,58,400.0
41123,59,520.0
41862,60,670.0
42514,61,540.0
43489,62,870.0
44631,63,890.0
45364,64,1010.0
45920,65,480.0
46860,66,640.0
47744,67,850.0
48627,68,830.0
49046,69,170.0
49550,70,300.0
50284,71,330.0
50945,72,420.0
51327,73,230.0
51810,74,310.0
52424,75,340.0
53881,76,1300.0
54523,77,620.0
55265,78,850.0
56310,79,1290.0
56808,80,350.0
58208,81,1280.0
58637,82,330.0
59480,83,750.0
60338,84,540.0
61142,85,760.0
61778,86,440.0
62627,87,1190.0
63057,88,310.0
63566,89,210.0
64230,90,450.0
65465,91,940.0
65918,92,180.0
66878,93,460.0
67730,94,710.0
68554,95,640.0
69733,96,630.0
70908,97,890.0
71299,98,180.0
72082,99,900.0
72608,100,300.0
73235,101,570.0
73724,102,240.0
74360,103,380.0
75117,104,850.0
75671,105,440.0
76504,106,820.0
77205,107,390.0
77638,108,390.0
79122,109,1710.0
79892,110,470.0
80457,111,490.0
81321,112,1850.0
82001,113,770.0
82899,114,1350.0
83358,115,310.0
84304,116,520.0
85462,117,1310.0
85918,118,130.0
86326,119,140.0
87023,120,490.0
87699,121,460.0
88288,122,570.0
88830,123,300.0
89465,124,590.0
90124,125,500.0
90914,126,510.0
92073,127,1780.0
93157,128,680.0
93857,129,260.0
94713,130,890.0
95276,131,350.0
96123,132,810.0
96563,133,310.0
97266,134,460.0
97808,135,410.0
98818,136,730.0
99601,137,490.0
100330,138,1220.0
101176,139,450.0
102046,140,910.0
102534,141,350.0
103266,142,390.0
104001,143,1770.0
104582,144,300.0
105401,145,610.0
106240,146,320.0
106973,147,410.0
107602,148,530.0
108268,149,490.0
108877,150,410.0
109645,151,630.0
110586,152,360.0
111248,153,340.0
111856,154,470.0
112513,155,450.0
113524,156,510.0
114180,157,330.0
114798,158,530.0
115622,159,770.0
