Steps,Episode reward,Episode number
496,130.0,1
1003,180.0,2
1746,230.0,3
2327,300.0,4
2830,180.0,5
3406,210.0,6
4070,280.0,7
4770,270.0,8
5423,170.0,9
6042,200.0,10
6743,240.0,11
7362,280.0,12
8008,190.0,13
8585,160.0,14
9190,140.0,15
9793,190.0,16
10322,170.0,17
10979,160.0,18
11448,130.0,19
12097,180.0,20
12755,220.0,21
13418,360.0,22
14276,330.0,23
14818,180.0,24
15689,540.0,25
16548,640.0,26
17629,770.0,27
18382,320.0,28
19137,430.0,29
19894,460.0,30
20335,200.0,31
21104,410.0,32
21676,310.0,33
22062,280.0,34
22818,810.0,35
23271,250.0,36
23819,200.0,37
24553,500.0,38
25283,570.0,39
25911,600.0,40
26604,520.0,41
27473,720.0,42
28559,1010.0,43
29091,400.0,44
29581,180.0,45
30432,860.0,46
31032,440.0,47
31763,740.0,48
32187,150.0,49
32833,610.0,50
33506,380.0,51
34398,660.0,52
35273,740.0,53
36051,690.0,54
36765,620.0,55
37530,320.0,56
39095,2480.0,57
39831,730.0,58
40510,630.0,59
41284,420.0,60
41933,620.0,61
42683,490.0,62
43614,740.0,63
44596,770.0,64
45230,500.0,65
45702,300.0,66
46682,900.0,67
47224,340.0,68
47979,680.0,69
48497,340.0,70
48995,380.0,71
49968,1580.0,72
50833,670.0,73
51330,260.0,74
52237,770.0,75
52715,310.0,76
53222,480.0,77
53743,410.0,78
54294,440.0,79
55073,520.0,80
