Episode reward,Steps,Episode number
250.0,734,1
150.0,1245,2
220.0,1865,3
130.0,2523,4
160.0,3234,5
270.0,3888,6
250.0,4403,7
240.0,4939,8
240.0,5674,9
180.0,6266,10
230.0,6829,11
230.0,7401,12
170.0,8057,13
220.0,8700,14
150.0,9265,15
340.0,9947,16
190.0,10503,17
230.0,11169,18
300.0,11788,19
180.0,12325,20
320.0,13017,21
290.0,13613,22
370.0,14271,23
250.0,14767,24
390.0,15487,25
180.0,15975,26
170.0,16335,27
350.0,17025,28
750.0,17830,29
510.0,19056,30
280.0,19659,31
350.0,20233,32
670.0,21135,33
590.0,21916,34
640.0,22740,35
680.0,23614,36
1000.0,24540,37
460.0,25176,38
760.0,26079,39
800.0,26852,40
610.0,27572,41
580.0,28600,42
810.0,29491,43
470.0,30454,44
880.0,31344,45
350.0,31925,46
520.0,32616,47
1330.0,33453,48
240.0,33957,49
730.0,34883,50
800.0,35504,51
960.0,36527,52
600.0,37370,53
660.0,38117,54
200.0,38483,55
900.0,39474,56
780.0,40332,57
660.0,41203,58
470.0,42065,59
370.0,42734,60
300.0,43352,61
510.0,44168,62
240.0,44740,63
1250.0,46008,64
1680.0,46915,65
410.0,47735,66
1010.0,48641,67
660.0,49470,68
1680.0,50877,69
350.0,51428,70
1780.0,52512,71
580.0,53247,72
310.0,53625,73
1280.0,54362,74
1500.0,55701,75
360.0,56325,76
570.0,57013,77
580.0,57911,78
500.0,58660,79
220.0,59157,80
340.0,59741,81
1010.0,60964,82
510.0,61600,83
260.0,62192,84
1110.0,63345,85
1450.0,64220,86
470.0,65013,87
530.0,65612,88
660.0,66439,89
430.0,66983,90
490.0,67599,91
390.0,68105,92
390.0,68732,93
550.0,69526,94
500.0,70195,95
280.0,70746,96
640.0,71504,97
860.0,72559,98
370.0,73145,99
350.0,73635,100
260.0,74015,101
480.0,74712,102
550.0,75344,103
480.0,76070,104
200.0,76444,105
470.0,77027,106
750.0,77970,107
180.0,78324,108
410.0,78983,109
260.0,79508,110
620.0,80451,111
690.0,81234,112
590.0,82006,113
520.0,82678,114
310.0,83213,115
650.0,83893,116
960.0,85033,117
1050.0,85948,118
910.0,86855,119
480.0,87406,120
1270.0,88319,121
770.0,89218,122
450.0,89818,123
510.0,90408,124
440.0,90914,125
400.0,91657,126
210.0,92258,127
950.0,93066,128
540.0,93724,129
360.0,94151,130
250.0,94577,131
590.0,95268,132
240.0,95661,133
760.0,96361,134
490.0,97174,135
590.0,97842,136
270.0,98409,137
310.0,98935,138
540.0,99505,139
670.0,100318,140
290.0,100785,141
410.0,101358,142
210.0,101818,143
680.0,102735,144
1090.0,104096,145
1050.0,104979,146
670.0,105619,147
400.0,106477,148
600.0,107079,149
1270.0,108100,150
860.0,109146,151
1240.0,110334,152
520.0,110909,153
760.0,111922,154
370.0,112416,155
320.0,112909,156
730.0,113635,157
290.0,114040,158
440.0,114641,159
390.0,115089,160
380.0,115605,161
450.0,116291,162
570.0,116886,163
570.0,117646,164
450.0,118220,165
630.0,118817,166
510.0,119545,167
670.0,120329,168
600.0,121084,169
640.0,122065,170
270.0,122811,171
310.0,123246,172
420.0,123877,173
790.0,124994,174
250.0,125377,175
100.0,125765,176
980.0,126884,177
570.0,127583,178
390.0,128113,179
210.0,128600,180
210.0,129016,181
460.0,129683,182
