Steps,Episode reward,Episode number
850,230.0,1
1532,200.0,2
2009,150.0,3
2488,160.0,4
3730,520.0,5
4204,120.0,6
4848,280.0,7
5513,280.0,8
6022,190.0,9
6664,210.0,10
7210,250.0,11
7897,250.0,12
8378,130.0,13
8883,170.0,14
9497,180.0,15
10075,210.0,16
10655,240.0,17
11225,190.0,18
11844,160.0,19
12443,240.0,20
13168,410.0,21
13815,330.0,22
14443,370.0,23
15025,250.0,24
15766,580.0,25
16648,960.0,26
17943,1210.0,27
18930,1850.0,28
19632,660.0,29
20423,650.0,30
21391,630.0,31
22221,630.0,32
22880,440.0,33
23502,490.0,34
24289,360.0,35
24609,110.0,36
25355,400.0,37
26157,580.0,38
26861,780.0,39
28355,1300.0,40
29094,460.0,41
30295,1710.0,42
30837,360.0,43
31590,520.0,44
32482,700.0,45
33194,510.0,46
33879,480.0,47
35036,1200.0,48
35585,250.0,49
36357,660.0,50
36776,150.0,51
37085,140.0,52
37524,270.0,53
38510,780.0,54
39292,710.0,55
40074,840.0,56
40896,800.0,57
41448,380.0,58
42547,1270.0,59
42977,310.0,60
43757,1030.0,61
44838,1980.0,62
45353,310.0,63
46427,770.0,64
47211,1830.0,65
48061,800.0,66
48575,280.0,67
49477,710.0,68
50285,580.0,69
51052,700.0,70
51503,260.0,71
52135,450.0,72
52602,230.0,73
53477,590.0,74
54210,510.0,75
55006,870.0,76
55645,390.0,77
56234,410.0,78
57277,1150.0,79
57991,430.0,80
58774,840.0,81
59299,420.0,82
59860,120.0,83
60446,220.0,84
