Steps,Episode number,Episode reward
572,1,250.0
1196,2,250.0
1882,3,320.0
2458,4,130.0
3141,5,220.0
3904,6,230.0
4497,7,160.0
5005,8,200.0
5509,9,190.0
6141,10,120.0
6709,11,220.0
7377,12,280.0
7946,13,190.0
8434,14,160.0
8908,15,230.0
9484,16,170.0
10137,17,320.0
10699,18,200.0
11145,19,150.0
11834,20,250.0
12440,21,230.0
13062,22,170.0
13662,23,210.0
14292,24,220.0
14767,25,200.0
15557,26,640.0
16246,27,270.0
16862,28,250.0
17762,29,680.0
18471,30,370.0
19165,31,320.0
19761,32,290.0
20509,33,310.0
21097,34,220.0
21497,35,150.0
21923,36,170.0
22784,37,1360.0
23355,38,280.0
23882,39,170.0
24482,40,150.0
24863,41,110.0
25692,42,590.0
26128,43,120.0
27182,44,620.0
27739,45,250.0
28210,46,260.0
28728,47,330.0
29570,48,1040.0
30276,49,330.0
31212,50,850.0
31996,51,490.0
32477,52,200.0
33310,53,640.0
33981,54,580.0
34737,55,550.0
35314,56,160.0
36304,57,1160.0
36909,58,310.0
37490,59,230.0
37931,60,230.0
38741,61,520.0
39313,62,270.0
39994,63,400.0
40495,64,280.0
41318,65,560.0
41877,66,380.0
42190,67,120.0
43073,68,520.0
43687,69,250.0
44265,70,310.0
44823,71,270.0
45480,72,320.0
46011,73,160.0
46609,74,320.0
47108,75,240.0
47966,76,360.0
48848,77,650.0
49632,78,450.0
50176,79,250.0
50791,80,290.0
51349,81,270.0
51921,82,270.0
52720,83,300.0
53265,84,240.0
54036,85,350.0
54937,86,560.0
55586,87,380.0
56154,88,290.0
57106,89,1240.0
57584,90,160.0
58491,91,580.0
59707,92,460.0
60506,93,340.0
61162,94,240.0
62218,95,660.0
62780,96,160.0
63697,97,480.0
64515,98,410.0
65371,99,470.0
66196,100,410.0
67344,101,860.0
67871,102,170.0
68783,103,510.0
69611,104,550.0
70583,105,1350.0
71333,106,490.0
71794,107,160.0
72319,108,300.0
72951,109,360.0
73728,110,720.0
74746,111,1910.0
75701,112,540.0
76964,113,1030.0
77834,114,1010.0
78321,115,160.0
79201,116,290.0
79781,117,330.0
80654,118,640.0
81399,119,550.0
82156,120,1020.0
82682,121,310.0
83260,122,170.0
84386,123,490.0
85303,124,390.0
86078,125,520.0
