Episode reward,Steps,Episode number
200.0,646,1
300.0,1375,2
220.0,2098,3
160.0,2656,4
180.0,3224,5
230.0,3885,6
220.0,4552,7
280.0,5332,8
340.0,6121,9
190.0,6629,10
260.0,7262,11
200.0,7850,12
210.0,8488,13
210.0,9104,14
150.0,9636,15
120.0,10116,16
340.0,11141,17
260.0,11887,18
340.0,12565,19
230.0,13192,20
200.0,13644,21
250.0,14343,22
550.0,15067,23
1140.0,15784,24
360.0,16505,25
610.0,17272,26
390.0,17929,27
550.0,18674,28
540.0,19477,29
290.0,19915,30
310.0,20445,31
920.0,21522,32
190.0,22016,33
390.0,22552,34
570.0,23270,35
360.0,23904,36
420.0,24806,37
590.0,25476,38
360.0,26221,39
340.0,26716,40
160.0,27038,41
270.0,27650,42
280.0,28200,43
120.0,28520,44
290.0,29161,45
360.0,29862,46
430.0,30573,47
1190.0,31767,48
350.0,32332,49
250.0,32716,50
570.0,33286,51
740.0,34055,52
930.0,34750,53
340.0,35267,54
680.0,36063,55
910.0,36953,56
810.0,37765,57
400.0,38610,58
550.0,39436,59
340.0,40022,60
180.0,40422,61
1190.0,41360,62
580.0,41940,63
1100.0,42705,64
960.0,43482,65
480.0,44310,66
360.0,44920,67
470.0,45687,68
240.0,46400,69
270.0,46841,70
310.0,47402,71
690.0,48142,72
320.0,48965,73
390.0,49479,74
280.0,49928,75
510.0,50610,76
250.0,51053,77
450.0,51601,78
170.0,51990,79
100.0,52418,80
