Episode number,Steps,Episode reward
1,562,240.0
2,1247,280.0
3,1889,200.0
4,2524,180.0
5,3186,160.0
6,3867,290.0
7,4397,210.0
8,4929,180.0
9,5738,220.0
10,6275,150.0
11,6901,320.0
12,7441,160.0
13,8049,260.0
14,8744,350.0
15,9744,330.0
16,10372,210.0
17,11027,190.0
18,11806,360.0
19,12467,280.0
20,13134,290.0
21,13922,460.0
22,14313,110.0
23,14993,310.0
24,15870,520.0
25,16632,390.0
26,17162,240.0
27,18188,1070.0
28,18510,100.0
29,19469,760.0
30,20465,610.0
31,21755,1140.0
32,22400,560.0
33,23253,580.0
34,23879,410.0
35,24835,1230.0
36,25847,700.0
37,26540,1060.0
38,27027,220.0
39,27774,1100.0
40,28898,760.0
41,29642,490.0
42,30143,360.0
43,31111,610.0
44,31811,330.0
45,32385,420.0
46,32910,400.0
47,33668,590.0
48,34593,790.0
49,35333,700.0
50,36278,1200.0
51,36979,590.0
52,37950,2020.0
53,39080,1090.0
54,39740,530.0
55,40631,370.0
56,41325,970.0
57,42042,610.0
