Steps,Episode number,Episode reward
719,1,210.0
1277,2,170.0
1800,3,160.0
2420,4,170.0
3060,5,170.0
3565,6,140.0
4094,7,180.0
4769,8,200.0
5586,9,1060.0
6178,10,220.0
6771,11,210.0
7429,12,140.0
8402,13,830.0
9050,14,150.0
9741,15,240.0
10238,16,200.0
10924,17,240.0
11582,18,200.0
12194,19,160.0
12854,20,390.0
13424,21,210.0
14082,22,370.0
14596,23,260.0
15189,24,280.0
15747,25,280.0
16230,26,320.0
16886,27,320.0
17554,28,410.0
18287,29,450.0
18908,30,360.0
19700,31,950.0
20236,32,300.0
21149,33,1130.0
21787,34,530.0
22321,35,270.0
23127,36,450.0
23857,37,650.0
24591,38,1000.0
25225,39,470.0
26508,40,980.0
27270,41,450.0
27979,42,570.0
28800,43,570.0
29685,44,410.0
30290,45,320.0
30915,46,350.0
31353,47,260.0
31817,48,260.0
32597,49,770.0
33228,50,500.0
34025,51,950.0
35141,52,840.0
35840,53,710.0
37046,54,1210.0
37321,55,80.0
38417,56,1210.0
39153,57,560.0
39634,58,300.0
40521,59,1080.0
41439,60,900.0
42502,61,740.0
43149,62,400.0
44015,63,590.0
45651,64,1230.0
46546,65,800.0
47085,66,330.0
48115,67,1010.0
48911,68,580.0
49608,69,820.0
50552,70,770.0
51247,71,470.0
51966,72,840.0
52442,73,330.0
52950,74,370.0
53632,75,530.0
54334,76,550.0
55483,77,1470.0
56029,78,240.0
56943,79,1350.0
57712,80,530.0
58322,81,530.0
58857,82,250.0
59459,83,510.0
60339,84,850.0
60769,85,320.0
61528,86,600.0
61961,87,350.0
62387,88,270.0
63322,89,490.0
64505,90,1720.0
64946,91,160.0
65458,92,420.0
66183,93,620.0
66945,94,630.0
67852,95,1230.0
69018,96,2390.0
69651,97,440.0
70218,98,340.0
71018,99,1130.0
71686,100,500.0
72359,101,460.0
72940,102,480.0
73880,103,660.0
74349,104,270.0
74953,105,530.0
75779,106,380.0
76685,107,800.0
77379,108,510.0
78076,109,720.0
78493,110,210.0
79049,111,460.0
79822,112,940.0
80767,113,1030.0
81884,114,940.0
82381,115,200.0
83224,116,2170.0
83982,117,550.0
84776,118,810.0
85425,119,420.0
86654,120,1210.0
87131,121,470.0
88448,122,1740.0
89094,123,580.0
89807,124,770.0
90476,125,540.0
91029,126,220.0
91592,127,390.0
